date,entity,sentiment_mean_3d,mention_count_3d,mention_growth
2026-04-03 00:00:00+00:00,META,0.16356333333333334,59.2468,0.9251198036297885
2026-04-03 00:00:00+00:00,MSFT,0.021553333333333327,60.5997,0.9116657690375108
2026-04-03 00:00:00+00:00,TSLA,0.03856148148148148,64.9422,1.1574169126138842
2026-04-04 00:00:00+00:00,META,0.11016999999999999,59.1686,1.0253883639842227
2026-04-04 00:00:00+00:00,MSFT,-0.03158333333333334,53.7603,0.7942168453989307
2026-04-04 00:00:00+00:00,TSLA,0.08110333333333333,74.9905,1.4368831397766224
2026-04-05 00:00:00+00:00,META,0.16557333333333332,53.0942,0.8415161625207034
2026-04-05 00:00:00+00:00,MSFT,0.011393333333333326,51.4568,0.7971211386559635
2026-04-05 00:00:00+00:00,TSLA,0.057629999999999994,68.9983,1.1154791909504926
2026-04-06 00:00:00+00:00,META,0.2069966666666667,51.22789999999999,0.8646526057103504
2026-04-06 00:00:00+00:00,MSFT,-0.023996666666666677,58.8726,0.9714998589101926
2026-04-06 00:00:00+00:00,TSLA,-0.004203333333333346,67.72250000000001,1.042811915826689
2026-04-07 00:00:00+00:00,META,0.17184000000000002,57.0056,0.963443448045078
2026-04-07 00:00:00+00:00,MSFT,0.03045666666666666,64.25880000000001,1.1952835084625646
2026-04-07 00:00:00+00:00,TSLA,-0.12676333333333334,74.302,0.9908188370526935
2026-04-08 00:00:00+00:00,META,0.11140000000000001,60.980900000000005,1.1485416486169866
2026-04-08 00:00:00+00:00,MSFT,0.04308333333333333,73.01060000000001,1.4188717526157866
2026-04-08 00:00:00+00:00,TSLA,-0.21026333333333336,76.61080000000001,1.1103288052024471
2026-04-09 00:00:00+00:00,META,0.10096666666666666,63.93220000000001,1.2479957210816766
2026-04-09 00:00:00+00:00,MSFT,0.04847666666666667,65.4157,1.1111399870228256
2026-04-09 00:00:00+00:00,TSLA,-0.13382333333333332,70.454,1.0403337147919818
2026-04-10 00:00:00+00:00,MSFT,0.011219999999999994,60.1153,0.9355185593257265
2026-04-11 00:00:00+00:00,MSFT,-0.05213,55.0393,0.7538535500324609
2026-04-11 00:00:00+00:00,NVDA,0.027771929824561403,116.2156,0.9739482854274322
2026-04-12 00:00:00+00:00,NVDA,0.06682192982456141,120.25080000000001,0.9842391820351558
