date,open,close
2026-02-13,307.7300109863281,305.7200012207031
2026-02-17,300.0400085449219,302.0199890136719
2026-02-18,302.0899963378906,303.3299865722656
2026-02-19,301.82000732421875,302.8500061035156
2026-02-20,304.32000732421875,314.9800109863281
2026-02-23,319.04998779296875,311.489990234375
2026-02-24,310.5199890136719,310.8999938964844
2026-02-25,312.05999755859375,312.8999938964844
2026-02-26,312.6400146484375,307.3800048828125
2026-02-27,304.1400146484375,311.760009765625
2026-03-02,303.2300109863281,306.5199890136719
2026-03-03,298.5899963378906,303.5799865722656
2026-03-04,302.8900146484375,303.1300048828125
2026-03-05,303.0400085449219,300.8800048828125
2026-03-06,296.0899963378906,298.5199890136719
2026-03-09,294.3599853515625,306.3599853515625
2026-03-10,306.1700134277344,307.0400085449219
2026-03-11,306.75,308.70001220703125
2026-03-12,306.82000732421875,303.54998779296875
2026-03-13,307.010009765625,302.2799987792969
2026-03-16,304.3500061035156,305.55999755859375
2026-03-17,305.8599853515625,310.9200134277344
2026-03-18,309.2699890136719,307.69000244140625
2026-03-19,304.010009765625,307.1300048828125
2026-03-20,305.4599914550781,301.0
2026-03-23,302.1099853515625,302.05999755859375
2026-03-24,299.20001220703125,290.44000244140625
2026-03-25,293.44000244140625,290.92999267578125
2026-03-26,287.9100036621094,280.9200134277344
2026-03-27,277.2799987792969,274.3399963378906
2026-03-30,276.4200134277344,273.5
2026-03-31,278.0400085449219,287.55999755859375
2026-04-01,290.8399963378906,297.3900146484375
2026-04-02,290.69000244140625,295.7699890136719
2026-04-06,295.8699951171875,299.989990234375
2026-04-07,302.7300109863281,305.4599914550781
2026-04-08,320.45001220703125,317.32000732421875
2026-04-09,315.9100036621094,318.489990234375
2026-04-10,320.0199890136719,317.239990234375
