date,open,close
2026-02-13,645.0999755859375,639.77001953125
2026-02-17,639.5,639.2899780273438
2026-02-18,633.7999877929688,643.219970703125
2026-02-19,638.5700073242188,644.780029296875
2026-02-20,639.6900024414062,655.6599731445312
2026-02-23,652.5399780273438,637.25
2026-02-24,633.0800170898438,639.2999877929688
2026-02-25,642.530029296875,653.6900024414062
2026-02-26,650.5499877929688,657.010009765625
2026-02-27,643.4500122070312,648.1799926757812
2026-03-02,637.1599731445312,653.5599975585938
2026-03-03,648.2899780273438,655.0800170898438
2026-03-04,657.9600219726562,667.72998046875
2026-03-05,661.9299926757812,660.5700073242188
2026-03-06,647.9000244140625,644.8599853515625
2026-03-09,634.780029296875,647.3900146484375
2026-03-10,653.5599975585938,654.0700073242188
2026-03-11,654.760009765625,654.8599853515625
2026-03-12,648.75,638.1799926757812
2026-03-13,623.8900146484375,613.7100219726562
2026-03-16,632.0,627.4500122070312
2026-03-17,627.989990234375,622.6599731445312
2026-03-18,616.3400268554688,615.6799926757812
2026-03-19,612.1500244140625,606.7000122070312
2026-03-20,603.530029296875,593.6599731445312
2026-03-23,605.7899780273438,604.0599975585938
2026-03-24,599.0999755859375,592.9199829101562
2026-03-25,598.739990234375,594.8900146484375
2026-03-26,582.489990234375,547.5399780273438
2026-03-27,540.0999755859375,525.719970703125
2026-03-30,536.3800048828125,536.3800048828125
2026-03-31,549.97998046875,572.1300048828125
2026-04-01,580.1300048828125,579.22998046875
2026-04-02,566.0399780273438,574.4600219726562
2026-04-06,577.6900024414062,573.02001953125
2026-04-07,572.47998046875,575.0499877929688
2026-04-08,606.0,612.4199829101562
2026-04-09,626.969970703125,628.3900146484375
2026-04-10,634.469970703125,629.8599853515625
