date,open,close
2026-02-13,187.47999572753906,182.80999755859375
2026-02-17,181.75,184.97000122070312
2026-02-18,188.75,187.97999572753906
2026-02-19,187.05999755859375,187.89999389648438
2026-02-20,186.57000732421875,189.82000732421875
2026-02-23,191.39999389648438,191.5500030517578
2026-02-24,191.49000549316406,192.85000610351562
2026-02-25,194.4499969482422,195.55999755859375
2026-02-26,194.27000427246094,184.88999938964844
2026-02-27,181.25,177.19000244140625
2026-03-02,175.00999450683594,182.47999572753906
2026-03-03,178.49000549316406,180.0500030517578
2026-03-04,180.44000244140625,183.0399932861328
2026-03-05,181.1699981689453,183.33999633789062
2026-03-06,179.83999633789062,177.82000732421875
2026-03-09,176.8300018310547,182.64999389648438
2026-03-10,182.39999389648438,184.77000427246094
2026-03-11,185.91000366210938,186.02999877929688
2026-03-12,184.0500030517578,183.13999938964844
2026-03-13,184.9199981689453,180.25
2026-03-16,182.97000122070312,183.22000122070312
2026-03-17,185.05999755859375,181.92999267578125
2026-03-18,182.47999572753906,180.39999389648438
2026-03-19,178.00999450683594,178.55999755859375
2026-03-20,178.0,172.6999969482422
2026-03-23,177.25999450683594,175.63999938964844
2026-03-24,174.8300018310547,175.1999969482422
2026-03-25,177.10000610351562,178.67999267578125
2026-03-26,176.07000732421875,171.24000549316406
2026-03-27,170.0,167.52000427246094
2026-03-30,168.77999877929688,165.1699981689453
2026-03-31,166.97000122070312,174.39999389648438
2026-04-01,176.0,175.75
2026-04-02,172.17999267578125,177.38999938964844
2026-04-06,177.16000366210938,177.63999938964844
2026-04-07,175.72999572753906,178.10000610351562
2026-04-08,184.5,182.0800018310547
2026-04-09,181.83999633789062,183.91000366210938
2026-04-10,184.30999755859375,188.6300048828125
