date,open,close
2026-02-13,414.30999755859375,417.44000244140625
2026-02-17,412.3599853515625,410.6300048828125
2026-02-18,411.1099853515625,411.32000732421875
2026-02-19,407.25,411.7099914550781
2026-02-20,408.29998779296875,411.82000732421875
2026-02-23,407.2900085449219,399.8299865722656
2026-02-24,399.5,409.3800048828125
2026-02-25,412.1499938964844,417.3999938964844
2026-02-26,414.4200134277344,408.5799865722656
2026-02-27,402.94000244140625,402.510009765625
2026-03-02,390.6000061035156,403.32000732421875
2026-03-03,395.0899963378906,392.42999267578125
2026-03-04,397.8500061035156,405.94000244140625
2026-03-05,401.57000732421875,405.54998779296875
2026-03-06,398.0899963378906,396.7300109863281
2026-03-09,390.04998779296875,398.67999267578125
2026-03-10,402.2200012207031,399.239990234375
2026-03-11,402.2799987792969,407.82000732421875
2026-03-12,405.17999267578125,395.010009765625
2026-03-13,399.1700134277344,391.20001220703125
2026-03-16,396.2200012207031,395.55999755859375
2026-03-17,395.69000244140625,399.2699890136719
2026-03-18,399.0,392.7799987792969
2026-03-19,387.2699890136719,380.29998779296875
2026-03-20,379.8500061035156,367.9599914550781
2026-03-23,373.0899963378906,380.8500061035156
2026-03-24,376.55999755859375,383.0299987792969
2026-03-25,389.989990234375,385.95001220703125
2026-03-26,381.6000061035156,372.1099853515625
2026-03-27,369.69000244140625,361.8299865722656
2026-03-30,365.8599853515625,355.2799987792969
2026-03-31,361.510009765625,371.75
2026-04-01,378.6300048828125,381.260009765625
2026-04-02,364.20001220703125,360.5899963378906
2026-04-06,362.5899963378906,352.82000732421875
2026-04-07,346.44000244140625,346.6499938964844
2026-04-08,363.7900085449219,343.25
2026-04-09,343.1499938964844,345.6199951171875
2026-04-10,346.2900085449219,348.95001220703125
